Vuosi	Luku	Momentti	Nettokertymä
2016	11.19. Muut veronluonteiset tulot	11.19.04. Eräät viestinnän maksut	-28974409,37
2016	11.19. Muut veronluonteiset tulot	11.19.05. Eräät liikenteen maksut	-19573229,2
2016	11.19. Muut veronluonteiset tulot	11.19.06. Väylämaksut	-46335335,47
2016	11.19. Muut veronluonteiset tulot	11.19.08. Öljyjätemaksu	-3825097,42
2016	11.19. Muut veronluonteiset tulot	11.19.09. Muut verotulot	-5975404,69
2016	11.19. Muut veronluonteiset tulot	11.19.10. Sähkö- ja maakaasuverkkomaksut ja Perämeren tuulivoima-alueella perittävä tuulivoimamaksu	-3015391,26
2017	11.01. Tulon ja varallisuuden perusteella kannettavat verot	11.01.01. Ansio- ja pääomatuloverot	-9053746530,24
2017	11.01. Tulon ja varallisuuden perusteella kannettavat verot	11.01.02. Yhteisövero	-4237946868,59
2017	11.01. Tulon ja varallisuuden perusteella kannettavat verot	11.01.03. Korkotulojen lähdevero	-65542586,68
2017	11.01. Tulon ja varallisuuden perusteella kannettavat verot	11.01.04. Perintö- ja lahjavero	-909081701,52
2017	11.04. Liikevaihdon perusteella kannettavat verot ja maksut	11.04.01. Arvonlisävero	-17547147195,08
2017	11.04. Liikevaihdon perusteella kannettavat verot ja maksut	11.04.02. Eräistä vakuutusmaksuista suoritettava vero	-767635691,2
2017	11.04. Liikevaihdon perusteella kannettavat verot ja maksut	11.04.03. Apteekkivero	-180920772,73
2017	11.08. Valmisteverot	11.08.01. Tupakkavero	-953811216,97
2017	11.08. Valmisteverot	11.08.04. Alkoholijuomavero	-1337320080,85
2017	11.08. Valmisteverot	11.08.05. Virvoitusjuomavero	-150879023,14
2017	11.08. Valmisteverot	11.08.07. Energiaverot	-4590841600,32
2017	11.08. Valmisteverot	11.08.08. Eräiden juomapakkausten valmistevero	-15570329,8
2017	11.10. Muut verot	11.10.03. Autovero	-977138445,69
2017	11.10. Muut verot	11.10.05. Varainsiirtovero	-775097440,31
2017	11.10. Muut verot	11.10.06. Arpajaisvero	-227056867,96
2017	11.10. Muut verot	11.10.07. Ajoneuvovero	-1169155429,37
2017	11.10. Muut verot	11.10.08. Jätevero	-12143271,03
2017	11.19. Muut veronluonteiset tulot	11.19.03. Ratavero	-4771409,08
2017	11.19. Muut veronluonteiset tulot	11.19.04. Eräät viestinnän maksut	-42041944,46
2017	11.19. Muut veronluonteiset tulot	11.19.05. Eräät liikenteen maksut	-27830502,01
2017	11.19. Muut veronluonteiset tulot	11.19.06. Väylämaksut	-47366425,82
2017	11.19. Muut veronluonteiset tulot	11.19.08. Öljyjätemaksu	-3767615,56
2017	11.19. Muut veronluonteiset tulot	11.19.09. Muut verotulot	-4611230,29
2017	11.19. Muut veronluonteiset tulot	11.19.10. Sähkö- ja maakaasuverkkomaksut ja Perämeren tuulivoima-alueella perittävä tuulivoimamaksu	-3756600,66
2017	11.19. Muut veronluonteiset tulot	11.19.11. Rahoitusvakausviraston hallintomaksut	-2277876,25
2018	11.01. Tulon ja varallisuuden perusteella kannettavat verot	11.01.01. Ansio- ja pääomatuloverot	-9701120659,15
2018	11.01. Tulon ja varallisuuden perusteella kannettavat verot	11.01.02. Yhteisövero	-4077751992,74
2018	11.01. Tulon ja varallisuuden perusteella kannettavat verot	11.01.03. Korkotulojen lähdevero	-46217276,34
2018	11.01. Tulon ja varallisuuden perusteella kannettavat verot	11.01.04. Perintö- ja lahjavero	-692262962,52
2018	11.04. Liikevaihdon perusteella kannettavat verot ja maksut	11.04.01. Arvonlisävero	-18082248957,84
2018	11.04. Liikevaihdon perusteella kannettavat verot ja maksut	11.04.02. Eräistä vakuutusmaksuista suoritettava vero	-771420300,62
2018	11.04. Liikevaihdon perusteella kannettavat verot ja maksut	11.04.03. Apteekkivero	-179887851,32
2018	11.08. Valmisteverot	11.08.01. Tupakkavero	-1115321747,1
2018	11.08. Valmisteverot	11.08.04. Alkoholijuomavero	-1471675210,78
2018	11.08. Valmisteverot	11.08.05. Virvoitusjuomavero	-154620048,02
2018	11.08. Valmisteverot	11.08.07. Energiaverot	-4657195954,19
2018	11.08. Valmisteverot	11.08.08. Eräiden juomapakkausten valmistevero	-15695899,17
2018	11.10. Muut verot	11.10.03. Autovero	-1001100778,35
2018	11.10. Muut verot	11.10.05. Varainsiirtovero	-844246446,54
2018	11.10. Muut verot	11.10.06. Arpajaisvero	-226334314,45
2018	11.10. Muut verot	11.10.07. Ajoneuvovero	-1192535984,27
2018	11.10. Muut verot	11.10.08. Jätevero	-6933987,37
2018	11.19. Muut veronluonteiset tulot	11.19.03. Ratavero	-4486357,69
2018	11.19. Muut veronluonteiset tulot	11.19.04. Eräät viestinnän maksut	-36822636,23
2018	11.19. Muut veronluonteiset tulot	11.19.05. Eräät liikenteen maksut	-28321473,73
2018	11.19. Muut veronluonteiset tulot	11.19.06. Väylämaksut	-49077803,14
2018	11.19. Muut veronluonteiset tulot	11.19.08. Öljyjätemaksu	-3675411,35
2018	11.19. Muut veronluonteiset tulot	11.19.09. Muut verotulot	-6872888,54
2018	11.19. Muut veronluonteiset tulot	11.19.10. Sähkö- ja maakaasuverkkomaksut ja Perämeren tuulivoima-alueella perittävä tuulivoimamaksu	-4084583,99
2018	11.19. Muut veronluonteiset tulot	11.19.11. Rahoitusvakausviraston hallintomaksut	-2708008
2019	11.01. Tulon ja varallisuuden perusteella kannettavat verot	11.01.01. Ansio- ja pääomatuloverot	-2540127135,45
2019	11.01. Tulon ja varallisuuden perusteella kannettavat verot	11.01.02. Yhteisövero	-1094079285,16
2019	11.01. Tulon ja varallisuuden perusteella kannettavat verot	11.01.03. Korkotulojen lähdevero	-24289880,45
2019	11.01. Tulon ja varallisuuden perusteella kannettavat verot	11.01.04. Perintö- ja lahjavero	-188024335,77
2019	11.04. Liikevaihdon perusteella kannettavat verot ja maksut	11.04.01. Arvonlisävero	-5158912817,46
2019	11.04. Liikevaihdon perusteella kannettavat verot ja maksut	11.04.02. Eräistä vakuutusmaksuista suoritettava vero	-235370434,49
2019	11.04. Liikevaihdon perusteella kannettavat verot ja maksut	11.04.03. Apteekkivero	-182630061,89
2019	11.08. Valmisteverot	11.08.01. Tupakkavero	-559501027,26
2019	11.08. Valmisteverot	11.08.04. Alkoholijuomavero	-335572045,95
2019	11.08. Valmisteverot	11.08.05. Virvoitusjuomavero	-38619995,41
2019	11.08. Valmisteverot	11.08.07. Energiaverot	-1241459602,1
2019	11.08. Valmisteverot	11.08.08. Eräiden juomapakkausten valmistevero	-3373068,83
2019	11.10. Muut verot	11.10.03. Autovero	-228190644,31
2019	11.10. Muut verot	11.10.05. Varainsiirtovero	-224430952,61
2019	11.10. Muut verot	11.10.06. Arpajaisvero	-60271519,29
2019	11.10. Muut verot	11.10.07. Ajoneuvovero	-274066244,83
2019	11.10. Muut verot	11.10.08. Jätevero	-387471,59
2019	11.19. Muut veronluonteiset tulot	11.19.04. Eräät viestinnän maksut	-14611538,84
2019	11.19. Muut veronluonteiset tulot	11.19.05. Eräät liikenteen maksut	-4911206,4
2019	11.19. Muut veronluonteiset tulot	11.19.06. Väylämaksut	-19999675,78
2019	11.19. Muut veronluonteiset tulot	11.19.08. Öljyjätemaksu	-849497,04
2019	11.19. Muut veronluonteiset tulot	11.19.09. Muut verotulot	-736076,41
